Sheet: Central States
Dimensions: 106074 rows x 19 cols
Non-empty cells: 2789
Data rows (non-blank): 199
================================================================================

Row 2: [2]=Macro Mark | [3]=Central Mark | [4]=Price | [5]=Weight | [7]=ItemID | [8]=ItemDescription | [9]=UnitCost | [10]=ItemProductType | [11]=ItemProfile | [12]=ItemColor | [13]=ItemGauge | [14]=ItemAccessoryType | [15]=ItemTrimType | [16]=BaseItemID | [17]=ProductSubcategory | [18]=ItemUOM | [19]=ItemWeight
Row 3: [3]=0200RIDGEB102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEB102 | [8]=Hawaiian,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Hawaiian | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 4: [3]=0200RIDGEB122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEB122 | [8]=Hawaiian,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Hawaiian | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 5: [3]=0200RIDGEB142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEB142 | [8]=Hawaiian,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Hawaiian | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 6: [3]=0200RIDGEB162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEB162 | [8]=Hawaiian,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Hawaiian | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 7: [3]=0200RIDGEB182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEB182 | [8]=Hawaiian,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Hawaiian | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 8: [3]=0200RIDGEB204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEB204 | [8]=Hawaiian,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Hawaiian | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 9: [3]=0200RIDGEBG102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEBG102 | [8]=Burgundy,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Burgundy | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 10: [3]=0200RIDGEBG122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEBG122 | [8]=Burgundy,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Burgundy | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 11: [3]=0200RIDGEBG142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEBG142 | [8]=Burgundy,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Burgundy | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 12: [3]=0200RIDGEBG162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEBG162 | [8]=Burgundy,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Burgundy | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 13: [3]=0200RIDGEBG182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEBG182 | [8]=Burgundy,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Burgundy | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
